"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","369","assertion helpers resolve against the live DOM in hard mode @ui","","2026-04-19","passed","2026-04-19","","framework/assertions.spec.ts","",""
"","1999","products search narrows the catalog on automationexercise @ui","","2026-04-19","passed","2026-04-19","","ui/products.spec.ts","",""
"","2341","home page opens the live automationexercise site and navigates to products @ui","","2026-04-19","passed","2026-04-19","","ui/home.spec.ts","",""
"","343","worker-scoped fixture server serves mounted HTML @ui","","2026-04-19","passed","2026-04-19","","framework/fixture.spec.ts","",""
"","278","softGroup body receives soft mode and restores hard mode afterwards @ui","","2026-04-19","passed","2026-04-19","","framework/assertions.spec.ts","",""
"","382","hard assertion failure throws immediately @ui","","2026-04-19","passed","2026-04-19","","framework/assertions.spec.ts","",""
"","692","softGroup keeps executing after a failing assertion @ui","","2026-04-19","passed","2026-04-19","","framework/assertions.spec.ts","",""
"","1966","brand filter uses the sidebar component and shows Polo products @ui","","2026-04-19","passed","2026-04-19","","ui/products.spec.ts","",""
"","1595","product details page exposes structured product information @ui","","2026-04-19","passed","2026-04-19","","ui/products.spec.ts","",""
"","1576","subscription footer confirms a successful subscription on the live site @ui","","2026-04-19","passed","2026-04-19","","ui/products.spec.ts","",""
"","258","logger fixture resets history between tests @ui","","2026-04-19","passed","2026-04-19","","framework/fixture.spec.ts","",""
