"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","68","no-raw-locator-in-tests flags page.locator/getByRole on Page identifiers @unit","","2026-06-10","passed","2026-06-10","","unit/eslintRules.spec.ts","",""
"","10","page-must-implement-is-opened flags classes that extend xPage without isOpened @unit","","2026-06-10","passed","2026-06-10","","unit/eslintRules.spec.ts","",""
"","4","wrapLocator re-wraps chained locators and keeps lineage metadata @unit","","2026-06-10","passed","2026-06-10","","unit/xLocator.spec.ts","",""
"","6","xPage navigates with base url and exposes wrapped page locators @unit","","2026-06-10","passed","2026-06-10","","unit/xPage.spec.ts","",""
"","10","getConfig maps SCREAMING_SNAKE_CASE env to camelCase @unit","","2026-06-10","passed","2026-06-10","","unit/env.spec.ts","",""
"","3","xComponent binds field names after construction and names nested roots @unit","","2026-06-10","passed","2026-06-10","","unit/xComponent.spec.ts","",""
"","5","typed config uses automationexercise as the default base url @unit","","2026-06-10","failed","2026-06-10","","unit/env.spec.ts","",""
"","10","typed config converts flags and preserves credentials @unit","","2026-06-10","passed","2026-06-10","","unit/env.spec.ts","",""
"","5","softGroup restores mode if the body throws @unit","","2026-06-10","passed","2026-06-10","","unit/softGroup.spec.ts","",""
"","5","softGroup pushes soft mode inside its body and restores after @unit","","2026-06-10","passed","2026-06-10","","unit/softGroup.spec.ts","",""
"","10","fixture server supports swapping routes at runtime @unit","","2026-06-10","passed","2026-06-10","","unit/fixtureServer.spec.ts","",""
"","8","no-goto-outside-page-objects flags page.goto and this.page.goto @unit","","2026-06-10","passed","2026-06-10","","unit/eslintRules.spec.ts","",""
"","5","playwright config keeps trace, screenshot, and video configured for failure triage @unit","","2026-06-10","passed","2026-06-10","","unit/reportingConfig.spec.ts","",""
"","2","playwright config wires both allure-playwright and the HTML reporter @unit","","2026-06-10","passed","2026-06-10","","unit/reportingConfig.spec.ts","",""
"","2","nested mode pushes expose the innermost value @unit","","2026-06-10","passed","2026-06-10","","unit/softGroup.spec.ts","",""
"","2","currentMode defaults to hard outside softGroup @unit","","2026-06-10","passed","2026-06-10","","unit/softGroup.spec.ts","",""
"","6","getConfig returns camelCase typed config @unit","","2026-06-10","passed","2026-06-10","","unit/env.spec.ts","",""
"","61","fixture server serves registered routes on an ephemeral port @unit","","2026-06-10","passed","2026-06-10","","unit/fixtureServer.spec.ts","",""
"","2","wrapLocator logs click actions with bound metadata @unit","","2026-06-10","passed","2026-06-10","","unit/xLocator.spec.ts","",""
"","12","env parser accepts the documented baseline @unit","","2026-06-10","passed","2026-06-10","","unit/env.spec.ts","",""
"","20","no-page-locator-in-components flags locator and goto @unit","","2026-06-10","passed","2026-06-10","","unit/eslintRules.spec.ts","",""
